Specimen,Subset,Statistic,Count,Total_Cells
Specimen_002_CP49 PBA26 NP4 GFP-1.fcs,Specimen_002_CP49 PBA26 NP4 GFP-1.fcs/Comp-Pacific Blue-A subset,97.1,19422.0,20000
Specimen_002_CP49 PBA26 NP4 GFP-1.fcs,Specimen_002_CP49 PBA26 NP4 GFP-1.fcs/Lymphocytes,82.8,16567.0,20000
Specimen_002_CP49 PBA26 NP4 GFP-1.fcs,Specimen_002_CP49 PBA26 NP4 GFP-1.fcs/Lymphocytes/Single Cells,71.5,11844.0,20000
Specimen_002_CP49 PBA26 NP4 GFP-1.fcs,"Specimen_002_CP49 PBA26 NP4 GFP-1.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",97.7,11567.0,20000
Specimen_002_CP49 PBA26 NP4 GFP-1.fcs,Mean : Comp-FITC-A = 1956.153564453,1956.0,,20000
Specimen_002_CP49 PBA26 NP4 GFP-1.fcs,"Specimen_002_CP49 PBA26 NP4 GFP-1.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",85.2,9853.0,20000
Specimen_002_CP49 PBA26 NP4 GFP-1.fcs,"Specimen_002_CP49 PBA26 NP4 GFP-1.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",73.8,14761.0,20000
Specimen_002_CP49 PBA26 NP4 GFP-1.fcs,"Specimen_002_CP49 PBA26 NP4 GFP-1.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",0.63,126.0,20000
Specimen_002_CP49 PBA26 NP4 GFP-1.fcs,"Specimen_002_CP49 PBA26 NP4 GFP-1.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",2.15,429.0,20000
Specimen_002_CP49 PBA26 NP4 GFP-1.fcs,"Specimen_002_CP49 PBA26 NP4 GFP-1.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",23.4,4684.0,20000
Specimen_002_CP49 PBA26 NP4 GFP.fcs,Specimen_002_CP49 PBA26 NP4 GFP.fcs/Comp-Pacific Blue-A subset,97.3,19454.0,20000
Specimen_002_CP49 PBA26 NP4 GFP.fcs,Specimen_002_CP49 PBA26 NP4 GFP.fcs/Lymphocytes,83.5,16706.0,20000
Specimen_002_CP49 PBA26 NP4 GFP.fcs,Specimen_002_CP49 PBA26 NP4 GFP.fcs/Lymphocytes/Single Cells,70.7,11807.0,20000
Specimen_002_CP49 PBA26 NP4 GFP.fcs,"Specimen_002_CP49 PBA26 NP4 GFP.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",98.0,11566.0,20000
Specimen_002_CP49 PBA26 NP4 GFP.fcs,Mean : Comp-FITC-A = 1964.652954102,1965.0,,20000
Specimen_002_CP49 PBA26 NP4 GFP.fcs,"Specimen_002_CP49 PBA26 NP4 GFP.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",85.0,9836.0,20000
Specimen_002_CP49 PBA26 NP4 GFP.fcs,"Specimen_002_CP49 PBA26 NP4 GFP.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",74.4,14877.0,20000
Specimen_002_CP49 PBA26 NP4 GFP.fcs,"Specimen_002_CP49 PBA26 NP4 GFP.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",0.53,105.0,20000
Specimen_002_CP49 PBA26 NP4 GFP.fcs,"Specimen_002_CP49 PBA26 NP4 GFP.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",2.07,414.0,20000
Specimen_002_CP49 PBA26 NP4 GFP.fcs,"Specimen_002_CP49 PBA26 NP4 GFP.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",23.0,4604.0,20000
Specimen_002_CP49 PBA26 NP6 GFP.fcs,Specimen_002_CP49 PBA26 NP6 GFP.fcs/Comp-Pacific Blue-A subset,92.9,18583.0,20000
Specimen_002_CP49 PBA26 NP6 GFP.fcs,Specimen_002_CP49 PBA26 NP6 GFP.fcs/Lymphocytes,85.9,17171.0,20000
Specimen_002_CP49 PBA26 NP6 GFP.fcs,Specimen_002_CP49 PBA26 NP6 GFP.fcs/Lymphocytes/Single Cells,57.5,9872.0,20000
Specimen_002_CP49 PBA26 NP6 GFP.fcs,"Specimen_002_CP49 PBA26 NP6 GFP.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",92.6,9138.0,20000
Specimen_002_CP49 PBA26 NP6 GFP.fcs,Mean : Comp-FITC-A = 914.729431152,915.0,,20000
Specimen_002_CP49 PBA26 NP6 GFP.fcs,"Specimen_002_CP49 PBA26 NP6 GFP.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",45.9,4195.0,20000
Specimen_002_CP49 PBA26 NP6 GFP.fcs,"Specimen_002_CP49 PBA26 NP6 GFP.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",53.2,10648.0,20000
Specimen_002_CP49 PBA26 NP6 GFP.fcs,"Specimen_002_CP49 PBA26 NP6 GFP.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",0.62,125.0,20000
Specimen_002_CP49 PBA26 NP6 GFP.fcs,"Specimen_002_CP49 PBA26 NP6 GFP.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",6.21,1241.0,20000
Specimen_002_CP49 PBA26 NP6 GFP.fcs,"Specimen_002_CP49 PBA26 NP6 GFP.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",39.9,7986.0,20000
Specimen_002_CP49 PBA26 NP6 GFP1.fcs,Specimen_002_CP49 PBA26 NP6 GFP1.fcs/Comp-Pacific Blue-A subset,90.9,16561.0,18217
Specimen_002_CP49 PBA26 NP6 GFP1.fcs,Specimen_002_CP49 PBA26 NP6 GFP1.fcs/Lymphocytes,85.7,15612.0,18217
Specimen_002_CP49 PBA26 NP6 GFP1.fcs,Specimen_002_CP49 PBA26 NP6 GFP1.fcs/Lymphocytes/Single Cells,61.8,9655.0,18217
Specimen_002_CP49 PBA26 NP6 GFP1.fcs,"Specimen_002_CP49 PBA26 NP6 GFP1.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",91.2,8810.0,18217
Specimen_002_CP49 PBA26 NP6 GFP1.fcs,Mean : Comp-FITC-A = 894.162353516,894.0,,18217
Specimen_002_CP49 PBA26 NP6 GFP1.fcs,"Specimen_002_CP49 PBA26 NP6 GFP1.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",45.3,3994.0,18217
Specimen_002_CP49 PBA26 NP6 GFP1.fcs,"Specimen_002_CP49 PBA26 NP6 GFP1.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",49.4,9005.0,18217
Specimen_002_CP49 PBA26 NP6 GFP1.fcs,"Specimen_002_CP49 PBA26 NP6 GFP1.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",0.6,109.0,18217
Specimen_002_CP49 PBA26 NP6 GFP1.fcs,"Specimen_002_CP49 PBA26 NP6 GFP1.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",8.27,1506.0,18217
Specimen_002_CP49 PBA26 NP6 GFP1.fcs,"Specimen_002_CP49 PBA26 NP6 GFP1.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",41.7,7597.0,18217
Specimen_002_CP49 PBA31 NP6 GFP 1.fcs,Specimen_002_CP49 PBA31 NP6 GFP 1.fcs/Comp-Pacific Blue-A subset,95.5,19094.0,20000
Specimen_002_CP49 PBA31 NP6 GFP 1.fcs,Specimen_002_CP49 PBA31 NP6 GFP 1.fcs/Lymphocytes,91.7,18344.0,20000
Specimen_002_CP49 PBA31 NP6 GFP 1.fcs,Specimen_002_CP49 PBA31 NP6 GFP 1.fcs/Lymphocytes/Single Cells,69.6,12761.0,20000
Specimen_002_CP49 PBA31 NP6 GFP 1.fcs,"Specimen_002_CP49 PBA31 NP6 GFP 1.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",97.0,12383.0,20000
Specimen_002_CP49 PBA31 NP6 GFP 1.fcs,Mean : Comp-FITC-A = 673.669921875,674.0,,20000
Specimen_002_CP49 PBA31 NP6 GFP 1.fcs,"Specimen_002_CP49 PBA31 NP6 GFP 1.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",33.2,4116.0,20000
Specimen_002_CP49 PBA31 NP6 GFP 1.fcs,"Specimen_002_CP49 PBA31 NP6 GFP 1.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",35.2,7048.0,20000
Specimen_002_CP49 PBA31 NP6 GFP 1.fcs,"Specimen_002_CP49 PBA31 NP6 GFP 1.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",0.33,65.0,20000
Specimen_002_CP49 PBA31 NP6 GFP 1.fcs,"Specimen_002_CP49 PBA31 NP6 GFP 1.fcs/Q3: Comp-Pacific Blue-A+ , Comp-FITC-A-",4.06,812.0,20000
Specimen_002_CP49 PBA31 NP6 GFP 1.fcs,"Specimen_002_CP49 PBA31 NP6 GFP 1.fcs/Q4: Comp-Pacific Blue-A- , Comp-FITC-A-",60.4,12075.0,20000
Specimen_002_CP49 PBA31 NP6 GFP.fcs,Specimen_002_CP49 PBA31 NP6 GFP.fcs/Comp-Pacific Blue-A subset,95.5,19102.0,20000
Specimen_002_CP49 PBA31 NP6 GFP.fcs,Specimen_002_CP49 PBA31 NP6 GFP.fcs/Lymphocytes,92.1,18416.0,20000
Specimen_002_CP49 PBA31 NP6 GFP.fcs,Specimen_002_CP49 PBA31 NP6 GFP.fcs/Lymphocytes/Single Cells,70.1,12907.0,20000
Specimen_002_CP49 PBA31 NP6 GFP.fcs,"Specimen_002_CP49 PBA31 NP6 GFP.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset",96.9,12511.0,20000
Specimen_002_CP49 PBA31 NP6 GFP.fcs,Mean : Comp-FITC-A = 696.227294922,696.0,,20000
Specimen_002_CP49 PBA31 NP6 GFP.fcs,"Specimen_002_CP49 PBA31 NP6 GFP.fcs/Lymphocytes/Single Cells/Comp-Pacific Blue-A, FSC-A subset/Comp-FITC-A, FSC-A subset",34.2,4283.0,20000
Specimen_002_CP49 PBA31 NP6 GFP.fcs,"Specimen_002_CP49 PBA31 NP6 GFP.fcs/Q1: Comp-Pacific Blue-A- , Comp-FITC-A+",36.1,7220.0,20000
Specimen_002_CP49 PBA31 NP6 GFP.fcs,"Specimen_002_CP49 PBA31 NP6 GFP.fcs/Q2: Comp-Pacific Blue-A+ , Comp-FITC-A+",0.26,51.0,20000
